Data,Arquivo,Publicação,UF,Outras informações,Imagem,Onde está,Destaque,Tipo,Assunto,Complemento,Localização,Interesse,Outras informações
1975.10.05,Acervo da Folha de S. Paulo,Folha de S. Paulo,SP,Caderno Ilustrada,4377280.png,"Roteiro, Infantis, antepenultimo item",4377280h.png,Teatro,O Mais Belo dos Paraísos,2o tipo do anuncio,"Teatro Itália – Av. São Luís, 50, República, São Paulo, SP",Baixo,
1975.10.11,Acervo da Folha de S. Paulo,Folha de S. Paulo,SP,Caderno Ilustrada,4378371.png,"Roteiro, Infantis, quarto item",4378371h.png,Teatro,O Mais Belo dos Paraísos,2o tipo do anuncio,"Teatro Itália – Av. São Luís, 50, República, São Paulo, SP",Baixo,
1975.10.12,Acervo da Folha de S. Paulo,Folha de S. Paulo,SP,Caderno Ilustrada,4378681.png,"Roteiro, Infantis, penultimo item",4378681h.png,Teatro,O Mais Belo dos Paraísos,2o tipo do anuncio,"Teatro Itália – Av. São Luís, 50, República, São Paulo, SP",Baixo,
1975.10.18,Acervo da Folha de S. Paulo,Folha de S. Paulo,SP,Caderno Primeiro Caderno,4632136.png,"Roteiro, Infantis, penultimo item",4632136h.png,Teatro,O Mais Belo dos Paraísos,2o tipo do anuncio,"Teatro Itália – Av. São Luís, 50, República, São Paulo, SP",Baixo,
1975.10.19,Acervo da Folha de S. Paulo,Folha de S. Paulo,SP,Caderno Ilustrada,4632505.png,"Roteiro, Infantis, quinto item",4632505h.png,Teatro,O Mais Belo dos Paraísos,2o tipo do anuncio,"Teatro Itália – Av. São Luís, 50, República, São Paulo, SP",Baixo,
1975.10.25,Acervo da Folha de S. Paulo,Folha de S. Paulo,SP,Caderno Ilustrada,4633975.png,"Roteiro, Infantis, terceiro item",4633975h.png,Teatro,O Mais Belo dos Paraísos,2o tipo do anuncio,"Teatro Itália – Av. São Luís, 50, República, São Paulo, SP",Baixo,
1975.10.26,Acervo da Folha de S. Paulo,Folha de S. Paulo,SP,Caderno Ilustrada,4634327.png,"Roteiro, Infantis, terceiro item",4634327h.png,Teatro,O Mais Belo dos Paraísos,2o tipo do anuncio,"Teatro Itália – Av. São Luís, 50, República, São Paulo, SP",Baixo,
1975.11.01,Acervo da Folha de S. Paulo,Folha de S. Paulo,SP,Caderno Ilustrada,4380534.png,"Roteiro, Infantis, quarto item",4380534h.png,Teatro,O Mais Belo dos Paraísos,2o tipo do anuncio,"Teatro Itália – Av. São Luís, 50, República, São Paulo, SP",Baixo,
1975.11.02,Acervo da Folha de S. Paulo,Folha de S. Paulo,SP,Caderno Ilustrada,4380843.png,"Roteiro, Infantis, quarto item",4380843h.png,Teatro,O Mais Belo dos Paraísos,2o tipo do anuncio,"Teatro Itália – Av. São Luís, 50, República, São Paulo, SP",Baixo,
1975.11.09,Acervo da Folha de S. Paulo,Folha de S. Paulo,SP,Caderno Ilustrada,4382537.png,"Roteiro, Infantis, quinto item",4382537h.png,Teatro,O Mais Belo dos Paraísos,2o tipo do anuncio,"Teatro Itália – Av. São Luís, 50, República, São Paulo, SP",Baixo,
1975.11.15,Acervo da Folha de S. Paulo,Folha de S. Paulo,SP,Caderno Ilustrada,4383935.png,"Teatro, Infantis, segunda coluna, terceiro item",4383935h.png,Teatro,O Mais Belo dos Paraísos,2o tipo do anuncio,"Teatro Itália – Av. São Luís, 50, República, São Paulo, SP",Baixo,
1975.11.16,Acervo da Folha de S. Paulo,Folha de S. Paulo,SP,Caderno Primeiro Caderno,4406070.png,"Teatro, Infantis, segunda coluna, terceiro item",4406070h.png,Teatro,O Mais Belo dos Paraísos,2o tipo do anuncio,"Teatro Itália – Av. São Luís, 50, República, São Paulo, SP",Baixo,
1975.11.22,Acervo da Folha de S. Paulo,Folha de S. Paulo,SP,Caderno Primeiro Caderno,4408258.png,"Teatro, Infantis, segunda coluna, segundo item",4408258h.png,Teatro,O Mais Belo dos Paraísos,2o tipo do anuncio,"Teatro Itália – Av. São Luís, 50, República, São Paulo, SP",Baixo,
1975.11.23,Acervo da Folha de S. Paulo,Folha de S. Paulo,SP,Caderno Primeiro Caderno,4408902.png,"Teatro, Infantis, segunda coluna, segundo item",4408902h.png,Teatro,O Mais Belo dos Paraísos,2o tipo do anuncio,"Teatro Itália – Av. São Luís, 50, República, São Paulo, SP",Baixo,
1975.11.29,Acervo da Folha de S. Paulo,Folha de S. Paulo,SP,Caderno Primeiro Caderno,4410025.png,"Teatro, Infantis, segunda coluna, antepenultimo item",4410025h.png,Teatro,O Mais Belo dos Paraísos,2o tipo do anuncio,"Teatro Itália – Av. São Luís, 50, República, São Paulo, SP",Baixo,
